"ID_MESA","HAB","INHAB","VV","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL"
"100320724432101517",220,"2",198,12,7,81,58,8,13,19
"100320208200220201",220,"2",198,10,7,77,58,17,13,16
"100320309470902606",220,"6",198,16,11,60,67,15,14,15
"100320722340800809",220,"4",198,4,9,61,70,17,22,15
"100320724560102804",220,"2",198,10,8,68,74,12,12,14
"100320725140600801",220,"28",198,11,14,66,63,15,15,14
"100320207290300107",220,"3",198,17,10,68,60,13,14,16
"100320722340801212",220,"7",198,11,11,64,76,16,12,8
"100320208200050508",220,"2",198,7,9,54,77,21,10,20
"100320420593101414",220,"5",198,12,9,78,60,11,17,11
"100320732780010202",220,"2",198,10,16,62,66,12,13,19
"100320723550400005",220,"3",198,9,5,74,64,13,11,22
"100320308210015903",220,"5",198,14,12,63,58,22,18,11
"100320342392591101",164,"0",148,6,8,58,41,19,9,7
"100320208200200201",220,"2",198,6,9,69,71,11,16,16
"100320722351100012",220,"4",198,16,11,62,57,21,17,14
"100320825260000707",220,"7",198,13,17,68,69,9,9,13
"100320309710104730",220,"3",198,9,11,76,62,13,13,14
"100320208200130501",220,"3",198,23,13,61,66,6,19,10
"100320518310043001",59,"0",53,3,2,19,20,4,3,2
"100320309390901809",220,"15",198,10,7,73,58,22,13,15
"100320308210010406",220,"2",198,12,8,70,63,12,20,13
"100320722342547023",220,"4",198,12,11,68,68,16,13,10
"100320308210019124",220,"0",198,7,9,72,62,18,10,20
"100320207293003911",220,"0",198,7,9,71,70,16,15,10
"100320620400000802",117,"2",105,4,7,32,32,10,11,9
"100320308840500101",220,"6",198,15,6,67,75,15,8,12
"100320308210015206",220,"3",198,10,13,68,75,15,7,10
"100320626800007107",220,"12",198,12,19,68,59,19,4,17
"100320518320043101",87,"4",78,3,5,29,24,7,7,3
"100320308212588002",64,"0",58,2,6,14,15,10,4,7
"100320208200120725",220,"0",198,9,7,65,64,20,19,14
"110341836192520006",220,"0",198,8,9,70,68,11,11,21
"100320420590013708",220,"3",198,12,14,53,72,18,13,16
"100320203750277401",220,"3",198,13,15,50,70,16,14,20
"100320722341001807",220,"4",198,10,10,73,67,13,12,13
"100320722340501409",220,"6",198,7,8,76,63,12,16,16
"100320207290020508",220,"2",198,14,7,78,63,17,6,13
"100320515300009207",220,"0",198,5,9,65,71,13,13,22
"100320308210013407",220,"8",198,16,10,65,77,10,10,10
"100320722340101016",220,"1",198,9,8,72,61,20,10,18
"100320728561104107",220,"3",198,8,9,82,56,13,14,16
"100320113140000106",220,"6",198,4,7,76,63,13,16,19
"100320205150226602",220,"1",198,11,12,68,67,14,13,13
"100320227430000225",220,"3",198,7,10,70,73,9,16,13
"100320208203005513",220,"3",198,8,9,70,63,16,14,18
"100320619770000203",220,"3",198,10,5,70,66,15,20,12
"100320208200120229",220,"4",198,9,10,64,75,25,6,9
"100320724450101701",220,"6",198,7,15,69,67,16,11,13
"100320234480000101",158,"4",142,7,5,46,46,7,18,13
