"ID_MESA","HAB","INHAB","VV"
"100320514940057303",220,"5",198
"100320207290230613",220,"3",198
"100320207290230208",220,"2",198
"100320722342547511",147,"2",132
"100320127940041018",220,"3",198
"100320308530301702",220,"3",198
"100320208202552404",220,"1",198
"100320722340502712",220,"9",198
"100320308210012304",220,"1",198
"100320308210018703",220,"0",198
"100320308210013217",220,"6",198
"100320127940022716",220,"5",198
"100320308213008605",220,"2",198
"100320207010255401",220,"7",198
"100320309510902901",220,"2",198
"100320202392576601",83,"3",75
"100320722340300009",237,"0",213
"100320309342503317",220,"6",198
"100320127940050603",220,"4",198
"100320309680905121",220,"2",198
"100320127940021609",220,"4",198
"100320722340101206",220,"0",198
"100320308210015608",220,"5",198
"100320308210011117",220,"10",198
"100320308210020225",220,"3",198
"100320308210021316",220,"2",198
"100320127940040701",220,"6",198
"100320309342548303",220,"0",198
"100320723372200005",220,"3",198
"100320722780501403",220,"5",198
"100320207290010401",220,"2",198
"100320308210015308",220,"7",198
"100320227672560511",220,"0",198
"100320735380000104",220,"2",198
"100320725051901001",220,"5",198
"100320827840001310",171,"12",154
"100320722960401206",220,"6",198
"100320309730101002",220,"1",198
"100320725240700709",220,"1",198
"100320722470000107",220,"7",198
"100320112760000103",220,"7",198
"100320722341000213",220,"6",198
"100320308210011701",220,"4",198
"100320133940000102",24,"3",22
"100320207290090311",220,"1",198
"100320308210017317",220,"5",198
"100320208200140208",220,"0",198
"100320514942505003",220,"0",198
"100320722960401203",220,"4",198
"100320112750000105",84,"4",76
"100320420593102506",220,"6",198
"100320310780140503",99,"12",89
"100320207290030306",220,"4",198
"100320207290080717",220,"5",198
"100320420592504302",220,"0",198
"100320722340602037",220,"7",198
"100320933860000102",170,"8",153
"100320722340202105",220,"8",198
"100320722650500109",220,"3",198
"100320309710104907",220,"4",198
"100320127942557102",220,"0",198
"100320516430048901",194,"10",175
"100320722340400608",220,"7",198
"100320722340901014",220,"8",198
"110443937832510821",220,"6",198
"100320515170007511",200,"2",180
"100320420590011908",220,"7",198
"100320232340800902",134,"1",121
"100320722340001012",220,"5",198
"100320310520121211",220,"1",198
"100320207290040503",220,"10",198
"100320205200226908",220,"2",198
"100320722341001813",220,"9",198
"100320516900027001",15,"0",14
"100320112150000101",132,"6",119
"100320207290240604",220,"3",198
"100320620200000701",157,"4",141
"100320139040000101",130,"0",117
"100320207290100608",212,"8",191
"100320825403201603",220,"4",198
"100320205400225502",220,"2",198
"110118543722618102",220,"0",198
"100320201950303602",53,"1",48
"100320626800007322",220,"10",198
"100320825400000408",220,"5",198
"100320420600000402",220,"0",198
"100320514943111202",220,"6",198
"100320724782545502",220,"0",198
"100320208200130603",220,"2",198
"100320204080280701",155,"4",140
"110341836192520209",220,"40",198
"100320207290140311",220,"2",198
"100320420590013513",220,"4",198
"100320825963202308",220,"0",198
"100320208202504123",220,"10",198
"100320207290110302",220,"0",198
"100320208203005301",220,"6",198
"100320619770000210",220,"9",198
"100320308210019010",220,"7",198
"100320208203005402",220,"0",198
"100320722343205605",220,"8",198
"100320309770101213",220,"1",198
"100320722342547006",220,"2",198
"100320722341001305",220,"4",198
"100320207290060730",220,"3",198
"100320722340801525",220,"12",198
"100320208200180121",220,"0",198
"100320208200170104",220,"1",198
"100320206520230221",220,"3",198
"100320728721802702",71,"1",64
"100320722340801728",220,"6",198
"100320728561104003",220,"4",198
"100320308210010211",220,"1",198
"100320722341000219",220,"8",198
"100320308210015108",220,"4",198
"100320201140237906",220,"6",198
"100320309342503609",220,"8",198
"100320722340500111",220,"2",198
"100320309740105006",220,"4",198
"100320514942502804",65,"0",58
"100320517783113207",220,"4",198
"100320722341003003",220,"8",198
"100320309710104910",220,"5",198
