"ID_MESA","HAB","INHAB","VV","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL"
"100320207290250204",220,"3",198,6,13,70,65,20,14,10
"100320825960000206",220,"6",198,8,9,74,63,17,15,12
"100320207293003307",220,"4",198,9,8,76,62,13,20,10
"100320722340701314",220,"3",198,9,7,69,75,9,13,16
"100320517020028404",48,"1",43,1,4,15,16,2,3,2
"100320207290240119",220,"3",198,7,8,71,78,13,7,14
"100320200930245110",220,"6",198,10,8,65,70,16,6,23
"100320203800277908",220,"3",198,9,8,64,76,15,9,17
"100320310110110101",220,"9",198,10,10,67,64,11,16,20
"110111036112519113",220,"8",198,9,12,73,63,13,15,13
"100320722343203107",220,"10",198,7,2,64,78,14,14,19
"100320420590013803",220,"4",198,10,12,64,66,17,13,16
"100320227750000103",220,"2",198,6,9,68,68,10,16,21
"100320207290030409",230,"2",207,5,13,77,74,16,11,11
"100320724752000712",220,"3",198,8,7,71,70,12,14,16
"100320722341107707",220,"0",198,13,10,71,62,9,15,18
"100320722340100504",220,"6",198,5,11,75,59,16,20,12
"100320310990160120",220,"5",198,11,5,70,73,11,15,13
"100320619160001507",220,"11",198,6,8,62,74,16,18,14
"100320626803105604",123,"9",111,6,7,37,42,5,7,7
"100320825810000101",220,"9",198,10,9,65,77,11,15,11
"100320232052582802",220,"4",198,16,7,66,77,12,9,11
"100320308210023717",220,"0",198,8,15,68,66,16,15,10
"100320420592504404",220,"0",198,6,13,56,74,18,14,17
"100320722340801119",220,"6",198,9,13,72,66,12,8,18
"100320722342565405",220,"0",198,10,15,73,60,13,9,18
"100320722340700315",220,"5",198,9,6,59,80,14,21,9
"100320927730000803",220,"9",198,12,4,70,71,13,17,11
"100320722340502312",220,"6",198,16,10,62,71,16,9,14
"110111036112516204",220,"81",198,11,10,67,67,12,13,18
"100320113863002401",220,"10",198,10,6,74,57,16,23,12
"110671636172618020",220,"55",198,8,7,73,72,16,13,9
"100320308213008614",220,"2",198,13,10,68,75,13,8,11
"100320208200220511",220,"4",198,14,12,67,58,10,19,18
"100320309770101222",220,"1",198,11,15,59,69,14,8,22
"100320722341001313",220,"5",198,12,7,63,75,16,9,16
"100320736050000101",237,"6",213,10,8,71,88,10,14,12
"100320422210000201",220,"1",198,7,14,65,71,9,14,18
"100320516713114301",220,"10",198,6,11,77,63,15,17,9
"100320527420049101",220,"19",198,6,5,73,68,17,17,12
"100320420843102813",220,"4",198,8,6,65,66,17,22,14
"100320722340501410",220,"2",198,5,7,76,72,13,11,14
"100320626800010006",220,"4",198,4,11,77,59,17,15,15
"100320127940021720",220,"4",198,15,9,66,70,14,11,13
"100320308210015507",220,"5",198,11,8,75,59,13,17,15
"100320207290260108",220,"1",198,11,8,68,68,13,11,19
"100320420593101504",220,"1",198,12,8,70,60,18,15,15
"100320722340200908",220,"5",198,14,13,64,72,7,15,13
"100320826440000311",109,"9",98,10,3,31,34,9,5,6
"100320722340501602",220,"1",198,14,10,62,78,14,4,16
"100320127940011115",220,"9",198,9,9,64,69,14,16,17
"100320207290050401",220,"1",198,9,10,79,65,10,11,14
"110111243772608901",220,"0",198,5,10,64,72,19,14,14
"100320530823115904",220,"11",198,8,11,68,67,15,11,18
"100320516860026602",116,"6",104,7,6,36,33,4,12,6
"100320207720000105",220,"4",198,11,12,65,63,18,13,16
"100320515430011101",172,"11",155,8,9,56,50,11,11,10
"100320529200049401",51,"1",46,1,2,13,19,3,4,4
"100320722862400225",220,"8",198,8,9,56,76,16,20,13
"100320309770101214",220,"0",198,6,8,67,74,12,11,20
"100320208200050416",220,"1",198,12,7,63,75,12,19,10
"100320308210018226",134,"3",121,4,5,37,48,6,15,6
"100320207290250216",220,"3",198,10,11,61,58,19,18,21
"100320208200240219",220,"3",198,8,4,64,77,19,13,13
"100320309230800126",220,"7",198,11,8,73,66,15,12,13
"100320722340400015",220,"3",198,7,12,73,74,14,11,7
"100320309730100607",220,"6",198,9,9,84,70,7,11,8
"100320722340701327",220,"6",198,7,15,65,69,17,8,17
"110112237632508807",220,"16",198,6,12,63,74,12,15,16
"100320207010255408",220,"4",198,10,14,75,55,13,19,12
"100320308212535801",220,"4",198,13,13,65,61,13,18,15
"100320308210020712",220,"1",198,8,9,64,70,13,17,17
"100320208200060112",220,"4",198,10,7,60,70,16,17,18
"100320420590011703",220,"5",198,12,9,74,62,13,13,15
"100320207290100907",220,"6",198,6,7,76,69,17,10,13
"100320208200080302",220,"6",198,8,8,70,72,14,13,13
"100320207290170305",220,"5",198,12,11,74,55,21,12,13
"100320207290260102",220,"1",198,10,8,65,69,20,8,18
"100320208200050312",220,"0",198,13,8,79,58,11,16,13
